SiteCode,sdatetime,sdate,Year,Month,DOY,Sample_ID,Sample_Qualifier,Enterococci,Reporting_Limit,Lab_Qualifier,Bacteria,Bacteria_Flag,Rain24,Rain48,Salinity,Air_Temp,Water_Temp,Weather,Past24HR_Weather,Past48HR_Weather,Tide_Stage,Water_Surface,Current
WIL-01,2007-06-14T00:00:00Z,2007-06-14,2007,6,165,WIL-01 6/14/2007,NA,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,OVERCAST,LIGHT RAIN,NA,NA,ROUGH,NA
WIL-01,2005-06-15T09:30:00Z,2005-06-15,2005,6,166,WIL-01 6/15/2005,NA,281,10,NA,281,NA,1.37,NA,24,9,12,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2009-06-15T09:08:00Z,2009-06-15,2009,6,166,WIL-01 6/15/2009,NA,443,10,NA,443,NA,NA,0.91,28,12.9,12.6,OVERCAST,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2003-06-16T09:22:00Z,2003-06-16,2003,6,167,WIL-01 6/16/2003,NA,31,10,NA,31,NA,0.6,NA,31,16,12,PARTLY CLOUDY,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2004-06-16T00:00:00Z,2004-06-16,2004,6,168,WIL-01 6/16/2004,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2005-06-16T12:35:00Z,2005-06-16,2005,6,167,WIL-01 6/16/2005,NA,41,10,NA,41,NA,0,NA,NA,11,NA,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2008-06-16T09:32:00Z,2008-06-16,2008,6,168,WIL-01 6/16/2008,NA,31,10,NA,31,NA,NA,0.26,32,15.3,12,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2009-06-16T11:57:00Z,2009-06-16,2009,6,167,WIL-01 6/16/2009,NA,NA,10,U,10,TRUE,NA,0.47,24,19,16.2,CLEAR,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2009-06-17T09:05:00Z,2009-06-17,2009,6,168,WIL-01 6/17/2009,NA,10,10,NA,10,NA,NA,0.06,31,17.8,14,CLEAR,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2003-06-18T00:00:00Z,2003-06-18,2003,6,169,WIL-01 6/18/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2007-06-18T09:30:00Z,2007-06-18,2007,6,169,WIL-01 6/18/2007,NA,10,10,NA,10,NA,0.01,NA,30,22.9,15.5,PARTLY CLOUDY,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2008-06-18T09:25:00Z,2008-06-18,2008,6,170,WIL-01 6/18/2008,NA,NA,10,U,10,TRUE,NA,0,30,16,22.8,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2006-06-19T08:50:00Z,2006-06-19,2006,6,170,WIL-01 6/19/2006,NA,10,10,NA,10,NA,0,NA,20,21,16,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2004-06-02T10:45:00Z,2004-06-02,2004,6,154,WIL-01 6/2/2004,NA,52,10,NA,52,NA,0.24,NA,32,12,9.5,OVERCAST,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2008-06-02T09:25:00Z,2008-06-02,2008,6,154,WIL-01 6/2/2008,NA,NA,10,U,10,TRUE,NA,0.75,NA,13,4.7,PARTLY CLOUDY,NA,HEAVY RAIN,NA,CALM,NA
WIL-01,2009-06-02T09:01:00Z,2009-06-02,2009,6,153,WIL-01 6/2/2009,NA,NA,10,U,10,TRUE,NA,0,33,20.7,10.7,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2005-06-20T09:30:00Z,2005-06-20,2005,6,171,WIL-01 6/20/2005,NA,NA,10,U,10,TRUE,0,NA,22,22,14,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-06-20T00:00:00Z,2006-06-20,2006,6,171,WIL-01 6/20/2006,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2007-06-20T09:45:00Z,2007-06-20,2007,6,171,WIL-01 6/20/2007,NA,NA,10,U,10,TRUE,0,NA,28,17.6,13.7,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2004-06-21T09:40:00Z,2004-06-21,2004,6,173,WIL-01 6/21/2004,NA,NA,10,U,10,TRUE,NA,NA,32,25,13,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2006-06-21T09:15:00Z,2006-06-21,2006,6,172,WIL-01 6/21/2006,NA,10,10,NA,10,NA,0.5,NA,29,21,15,CLEAR,MEDIUM RAIN,NA,NA,CALM,NA
WIL-01,2005-06-22T09:15:00Z,2005-06-22,2005,6,173,WIL-01 6/22/2005,NA,10,10,NA,10,NA,0.2,NA,25,17,13,RAIN,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2009-06-22T09:00:00Z,2009-06-22,2009,6,173,WIL-01 6/22/2009,NA,52,10,NA,52,NA,NA,0.06,25,15,14.8,OVERCAST,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2003-06-23T09:07:00Z,2003-06-23,2003,6,174,WIL-01 6/23/2003,NA,10,10,NA,10,NA,0.4,NA,30,20,13,CLEAR,MEDIUM RAIN,NA,NA,CALM,NA
WIL-01,2005-06-23T00:00:00Z,2005-06-23,2005,6,174,WIL-01 6/23/2005,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2008-06-23T09:37:00Z,2008-06-23,2008,6,175,WIL-01 6/23/2008,NA,10,10,NA,10,NA,NA,0.4,30,18.7,14.9,OVERCAST,NA,LIGHT RAIN,NA,NA,NA
WIL-01,2009-06-24T09:42:00Z,2009-06-24,2009,6,175,WIL-01 6/24/2009,NA,74,10,NA,74,NA,NA,0.25,23,16.5,14.9,OVERCAST,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2003-06-25T00:00:00Z,2003-06-25,2003,6,176,WIL-01 6/25/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2007-06-25T09:31:00Z,2007-06-25,2007,6,176,WIL-01 6/25/2007,NA,NA,10,U,10,TRUE,0.04,NA,30,18.3,13.5,PARTLY CLOUDY,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2008-06-25T09:31:00Z,2008-06-25,2008,6,177,WIL-01 6/25/2008,NA,NA,10,U,10,TRUE,NA,0.58,28,21.4,14.7,PARTLY CLOUDY,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2009-06-25T00:00:00Z,2009-06-25,2009,6,176,WIL-01 6/25/2009,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA,NA,CLEAR,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2006-06-26T08:40:00Z,2006-06-26,2006,6,177,WIL-01 6/26/2006,NA,405,10,NA,405,NA,0.25,NA,18,17,17,OVERCAST,MEDIUM RAIN,NA,NA,CALM,NA
WIL-01,2005-06-27T09:30:00Z,2005-06-27,2005,6,178,WIL-01 6/27/2005,NA,10,10,NA,10,NA,0,NA,30,22,14,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-06-27T12:35:00Z,2006-06-27,2006,6,178,WIL-01 6/27/2006,NA,41,10,NA,41,NA,0,NA,20,25,17,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2007-06-27T09:25:00Z,2007-06-27,2007,6,178,WIL-01 6/27/2007,NA,NA,10,U,10,TRUE,0,NA,30,NA,13.6,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2004-06-28T09:30:00Z,2004-06-28,2004,6,180,WIL-01 6/28/2004,NA,10,10,NA,10,NA,0,NA,32,21,12,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2006-06-28T08:40:00Z,2006-06-28,2006,6,179,WIL-01 6/28/2006,NA,NA,10,U,10,TRUE,0,NA,28,20,16,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2005-06-29T09:35:00Z,2005-06-29,2005,6,180,WIL-01 6/29/2005,NA,NA,10,U,10,TRUE,0,NA,28,27,14,CLEAR,NA,NA,NA,NA,NA
WIL-01,2009-06-29T09:24:00Z,2009-06-29,2009,6,180,WIL-01 6/29/2009,NA,72,10,NA,72,NA,NA,0.99,28,12.6,14,OVERCAST,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2003-06-30T09:00:00Z,2003-06-30,2003,6,181,WIL-01 6/30/2003,NA,NA,10,U,10,TRUE,0,NA,28,26,16,CLEAR,NA,NA,NA,NA,NA
WIL-01,2008-06-30T09:20:00Z,2008-06-30,2008,6,182,WIL-01 6/30/2008,NA,10,10,NA,10,NA,NA,0.26,32,16.8,13.6,OVERCAST,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2008-06-04T09:28:00Z,2008-06-04,2008,6,156,WIL-01 6/4/2008,NA,10,10,NA,10,NA,NA,0.16,32,13.7,9.1,RAIN,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2009-06-04T08:02:00Z,2009-06-04,2009,6,155,WIL-01 6/4/2009,NA,NA,10,U,10,TRUE,NA,0,31,18,12,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2006-06-05T09:15:00Z,2006-06-05,2006,6,156,WIL-01 6/5/2006,NA,20,10,NA,20,NA,0.62,NA,30,17,5,PARTLY CLOUDY,MEDIUM RAIN,NA,NA,CALM,NA
WIL-01,2005-06-06T09:45:00Z,2005-06-06,2005,6,157,WIL-01 6/6/2005,NA,327,10,NA,327,NA,0,NA,25,10,11,RAIN,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2004-06-07T10:25:00Z,2004-06-07,2004,6,159,WIL-01 6/7/2004,NA,85,10,NA,85,NA,0.04,NA,30,11,10,OVERCAST,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2005-06-07T13:45:00Z,2005-06-07,2005,6,158,WIL-01 6/7/2005,NA,10,10,NA,10,NA,0,NA,NA,29,11,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-06-07T09:15:00Z,2006-06-07,2006,6,158,WIL-01 6/7/2006,NA,NA,10,U,10,TRUE,0,NA,22,13,13,RAIN,LIGHT RAIN,NA,NA,ROUGH,NA
WIL-01,2005-06-08T09:45:00Z,2005-06-08,2005,6,159,WIL-01 6/8/2005,NA,NA,10,U,10,TRUE,0,NA,28,28,13,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2009-06-08T09:00:00Z,2009-06-08,2009,6,159,WIL-01 6/8/2009,NA,10,10,NA,10,NA,NA,0,32,16,12.5,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2003-06-09T09:50:00Z,2003-06-09,2003,6,160,WIL-01 6/9/2003,NA,710,10,NA,710,NA,0,NA,32,12,10,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2004-06-09T00:00:00Z,2004-06-09,2004,6,161,WIL-01 6/9/2004,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2008-06-09T09:42:00Z,2008-06-09,2008,6,161,WIL-01 6/9/2008,NA,NA,10,U,10,TRUE,NA,0,30,18.3,10.2,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2009-07-01T09:17:00Z,2009-07-01,2009,7,182,WIL-01 7/1/2009,NA,63,10,NA,63,NA,NA,0.02,24,13.3,14.1,RAIN,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2006-07-10T09:00:00Z,2006-07-10,2006,7,191,WIL-01 7/10/2006,NA,20,10,NA,20,NA,0,NA,29,21,15,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2005-07-11T09:25:00Z,2005-07-11,2005,7,192,WIL-01 7/11/2005,NA,NA,10,U,10,TRUE,0,NA,29,29,16,CLEAR,NA,NA,NA,NA,NA
WIL-01,2007-07-11T09:20:00Z,2007-07-11,2007,7,192,WIL-01 7/11/2007,NA,41,10,NA,41,NA,0,NA,34,17.7,14,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2004-07-12T09:15:00Z,2004-07-12,2004,7,194,WIL-01 7/12/2004,NA,20,10,NA,20,NA,0,NA,32,21,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2006-07-12T09:00:00Z,2006-07-12,2006,7,193,WIL-01 7/12/2006,NA,74,10,NA,74,NA,0.36,NA,29,26,16.5,PARTLY CLOUDY,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2005-07-13T09:30:00Z,2005-07-13,2005,7,194,WIL-01 7/13/2005,NA,NA,10,U,10,TRUE,0,NA,30,25,15,CLEAR,NA,NA,NA,NA,NA
WIL-01,2009-07-13T09:14:00Z,2009-07-13,2009,7,194,WIL-01 7/13/2009,NA,10,10,NA,10,NA,NA,0.33,24,20.2,16.7,CLEAR,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2003-07-14T09:30:00Z,2003-07-14,2003,7,195,WIL-01 7/14/2003,NA,NA,10,U,10,TRUE,0,NA,32,19,16,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2004-07-14T09:30:00Z,2004-07-14,2004,7,196,WIL-01 7/14/2004,NA,63,10,NA,63,NA,0.24,NA,29,15,13,RAIN,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2008-07-14T09:28:00Z,2008-07-14,2008,7,196,WIL-01 7/14/2008,NA,NA,10,U,10,TRUE,NA,0,33,22.8,14.6,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2004-07-15T14:20:00Z,2004-07-15,2004,7,197,WIL-01 7/15/2004,NA,41,10,NA,41,NA,0,NA,32,16,16,CLEAR,NA,NA,NA,NA,NA
WIL-01,2009-07-15T09:38:00Z,2009-07-15,2009,7,196,WIL-01 7/15/2009,NA,10,10,NA,10,NA,NA,0,27,21.5,15.2,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2003-07-16T00:00:00Z,2003-07-16,2003,7,197,WIL-01 7/16/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2007-07-16T09:44:00Z,2007-07-16,2007,7,197,WIL-01 7/16/2007,NA,10,10,NA,10,NA,1.34,NA,30,23.3,16.7,CLEAR,HEAVY RAIN,NA,NA,CALM,NA
WIL-01,2008-07-16T09:49:00Z,2008-07-16,2008,7,198,WIL-01 7/16/2008,NA,NA,10,U,10,TRUE,NA,0,33,21.9,14.9,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-07-17T08:55:00Z,2006-07-17,2006,7,198,WIL-01 7/17/2006,NA,10,10,NA,10,NA,0,NA,25,23,16,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2005-07-18T09:20:00Z,2005-07-18,2005,7,199,WIL-01 7/18/2005,NA,NA,10,U,10,TRUE,0,NA,29,25,14,CLEAR,NA,NA,NA,NA,NA
WIL-01,2007-07-18T09:33:00Z,2007-07-18,2007,7,199,WIL-01 7/18/2007,NA,NA,10,U,10,TRUE,0,NA,31,20.3,14.4,OVERCAST,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2004-07-19T08:45:00Z,2004-07-19,2004,7,201,WIL-01 7/19/2004,NA,20,10,NA,20,NA,0.3,NA,30,17,15,RAIN,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2006-07-19T08:45:00Z,2006-07-19,2006,7,200,WIL-01 7/19/2006,NA,31,10,NA,31,NA,NA,NA,29,21,17,CLEAR,HEAVY RAIN,NA,NA,CALM,NA
WIL-01,2003-07-02T00:00:00Z,2003-07-02,2003,7,183,WIL-01 7/2/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2007-07-02T09:37:00Z,2007-07-02,2007,7,183,WIL-01 7/2/2007,NA,228,10,NA,228,NA,0,NA,33,20.2,13.1,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2008-07-02T09:34:00Z,2008-07-02,2008,7,184,WIL-01 7/2/2008,NA,73,10,NA,73,NA,NA,0.04,31,20.5,14.2,PARTLY CLOUDY,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2004-07-20T00:00:00Z,2004-07-20,2004,7,202,WIL-01 7/20/2004,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2005-07-20T09:00:00Z,2005-07-20,2005,7,201,WIL-01 7/20/2005,NA,134,10,NA,134,NA,NA,NA,25,30,15,CLEAR,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2009-07-20T09:23:00Z,2009-07-20,2009,7,201,WIL-01 7/20/2009,NA,10,10,NA,10,NA,NA,0,25,22,16.8,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2003-07-21T09:45:00Z,2003-07-21,2003,7,202,WIL-01 7/21/2003,NA,10,10,NA,10,NA,0,NA,31,22,15,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2004-07-21T00:00:00Z,2004-07-21,2004,7,203,WIL-01 7/21/2004,NA,NA,NA,NA,NA,NA,0.03,NA,NA,NA,NA,CLEAR,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2005-07-21T13:30:00Z,2005-07-21,2005,7,202,WIL-01 7/21/2005,NA,2755,10,NA,2755,NA,NA,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2008-07-21T09:23:00Z,2008-07-21,2008,7,203,WIL-01 7/21/2008,NA,324,10,NA,324,NA,NA,0.72,29,19.5,15.9,OVERCAST,NA,HEAVY RAIN,NA,CALM,NA
WIL-01,2004-07-22T00:00:00Z,2004-07-22,2004,7,204,WIL-01 7/22/2004,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2005-07-22T12:00:00Z,2005-07-22,2005,7,203,WIL-01 7/22/2005,NA,243,10,NA,243,NA,NA,NA,31,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2008-07-22T13:15:00Z,2008-07-22,2008,7,204,WIL-01 7/22/2008,NA,10,10,NA,10,NA,NA,0.72,31,21.3,17.8,PARTLY CLOUDY,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2009-07-22T09:10:00Z,2009-07-22,2009,7,203,WIL-01 7/22/2009,NA,161,10,NA,161,NA,NA,0.51,27,17.8,15.1,PARTLY CLOUDY,NA,MEDIUM RAIN,NA,CALM,NA
WIL-01,2003-07-23T00:00:00Z,2003-07-23,2003,7,204,WIL-01 7/23/2003,NA,NA,NA,NA,NA,NA,0.29,NA,NA,NA,NA,OVERCAST,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2007-07-23T09:30:00Z,2007-07-23,2007,7,204,WIL-01 7/23/2007,NA,10,10,NA,10,NA,0,NA,30,20.2,17.8,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2008-07-23T09:46:00Z,2008-07-23,2008,7,205,WIL-01 7/23/2008,NA,31,10,NA,31,NA,NA,0.23,33,20.3,16.8,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2009-07-23T13:45:00Z,2009-07-23,2009,7,204,WIL-01 7/23/2009,NA,31,10,NA,31,NA,NA,0,30,17.3,15.7,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2006-07-24T08:50:00Z,2006-07-24,2006,7,205,WIL-01 7/24/2006,NA,323,10,NA,323,NA,NA,NA,26,24,17,CLEAR,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2005-07-25T09:30:00Z,2005-07-25,2005,7,206,WIL-01 7/25/2005,NA,318,10,NA,318,NA,0,NA,24,24,17,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2006-07-25T12:00:00Z,2006-07-25,2006,7,206,WIL-01 7/25/2006,NA,NA,10,U,10,TRUE,NA,NA,NA,NA,NA,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2007-07-25T09:12:00Z,2007-07-25,2007,7,206,WIL-01 7/25/2007,NA,NA,10,U,10,TRUE,0,NA,29,28,18.5,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2004-07-26T09:25:00Z,2004-07-26,2004,7,208,WIL-01 7/26/2004,NA,31,10,NA,31,NA,0,NA,30,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2005-07-26T12:20:00Z,2005-07-26,2005,7,207,WIL-01 7/26/2005,NA,10,10,NA,10,NA,NA,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-07-26T08:50:00Z,2006-07-26,2006,7,207,WIL-01 7/26/2006,NA,10,10,NA,10,NA,NA,NA,23,25,18,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2005-07-27T11:10:00Z,2005-07-27,2005,7,208,WIL-01 7/27/2005,NA,NA,10,U,10,TRUE,NA,NA,30,34,17,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2009-07-27T09:23:00Z,2009-07-27,2009,7,208,WIL-01 7/27/2009,NA,20,10,NA,20,NA,NA,0.15,25,22.3,16,OVERCAST,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2003-07-28T10:00:00Z,2003-07-28,2003,7,209,WIL-01 7/28/2003,NA,NA,10,U,10,TRUE,0.01,NA,31,22,14,PARTLY CLOUDY,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2004-07-28T00:00:00Z,2004-07-28,2004,7,210,WIL-01 7/28/2004,NA,NA,NA,NA,NA,NA,0.25,NA,NA,NA,NA,RAIN,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2008-07-28T09:36:00Z,2008-07-28,2008,7,210,WIL-01 7/28/2008,NA,10,10,NA,10,NA,NA,0,33,19.7,15.7,OVERCAST,NA,NA,NA,CALM,NA
WIL-01,2009-07-29T09:17:00Z,2009-07-29,2009,7,210,WIL-01 7/29/2009,NA,NA,10,U,10,TRUE,NA,0,29,23.4,17.1,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2006-07-03T08:40:00Z,2006-07-03,2006,7,184,WIL-01 7/3/2006,NA,NA,10,U,10,TRUE,0,NA,22,27,17,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2007-07-03T13:15:00Z,2007-07-03,2007,7,184,WIL-01 7/3/2007,NA,NA,10,U,10,TRUE,0,NA,NA,22.5,NA,PARTLY CLOUDY,NA,NA,NA,CALM,NA
WIL-01,2003-07-30T00:00:00Z,2003-07-30,2003,7,211,WIL-01 7/30/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2007-07-30T09:51:00Z,2007-07-30,2007,7,211,WIL-01 7/30/2007,NA,NA,10,U,10,TRUE,0,NA,32,22.7,18.3,CLEAR,NA,NA,NA,NA,NA
WIL-01,2008-07-30T09:56:00Z,2008-07-30,2008,7,212,WIL-01 7/30/2008,NA,10,10,NA,10,NA,NA,0,31,26.5,15.8,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-07-31T08:50:00Z,2006-07-31,2006,7,212,WIL-01 7/31/2006,NA,683,10,NA,683,NA,0,NA,28,22,17,CLEAR,NA,NA,NA,CALM,NA
